,avg_throughput,avg_worktime,num_chars,avg_agreement,average_avg_var,var_throughput,var_worktime,num_words,var_agreement,average_avg_var,var_throughput_u_shaped,average_avg_var,special_norm,var_throughput_u_shaped,special_uni
avg_throughput,1.0,-0.1412466819307787,-0.004047204190300978,-0.028181898524067307,0.9368988935220893,0.7749880356661382,-0.014346070055110703,-0.0019176825317290859,-0.0018335945001900123,-0.08478024966231607,0.6827454274030357,-0.08478024966231607,-0.006477728444869287,-0.6827454274030353,0.004625915003244529
avg_worktime,-0.1412466819307787,1.0,0.08697945059607795,-0.010754847790791517,-0.10816077538078268,-0.06638673605741063,0.829862043444483,0.08967301166997667,-0.010208489450650997,0.9610409340496362,-0.06262385129759002,0.9610409340496362,0.0005710000623096428,0.06262385129759002,-0.0034353799162476226
num_chars,-0.004047204190300978,0.08697945059607795,1.0,-0.03240563007414713,-0.012015995608976458,-0.017995205319203,0.004582301991037994,0.9776399714201791,-0.02407167441715093,0.05011104197492503,-0.01930108758826442,0.05011104197492503,-0.002576837134630723,0.019301087588264435,0.003213423924531905
avg_agreement,-0.028181898524067307,-0.010754847790791517,-0.03240563007414713,1.0,-0.025936552702925372,-0.02090839392812322,-0.005245398016060601,-0.03139523481018657,-0.09975494023469617,-0.008528908018316683,-0.010069365385454731,-0.008528908018316683,0.0005125755932660938,0.010069365385454592,0.008223732382094243
average_avg_var,0.9368988935220893,-0.10816077538078268,-0.012015995608976458,-0.025936552702925372,1.0,0.9467699573561641,-0.000563275451677459,-0.009796080026100138,0.01292518013847226,-0.05976069514630515,0.7868197278555472,-0.05976069514630515,-0.006667302765976729,-0.7868197278555485,0.0009919855967369647
var_throughput,0.7749880356661382,-0.06638673605741063,-0.017995205319203,-0.02090839392812322,0.9467699573561641,1.0,0.012244142439393835,-0.015804922851700497,0.024890954740237097,-0.030447742376357365,0.8056053619327695,-0.030447742376357365,-0.005691982242102737,-0.8056053619327695,-0.0024054688895813934
var_worktime,-0.014346070055110703,0.829862043444483,0.004582301991037994,-0.005245398016060601,-0.000563275451677459,0.012244142439393835,1.0,0.005544660370507797,0.008372129531940845,0.9517536407289017,0.013098242868797672,0.9517536407289017,0.0008462357476245092,-0.013098242868797662,-0.0009295837337364762
num_words,-0.0019176825317290859,0.08967301166997667,0.9776399714201791,-0.03139523481018657,-0.009796080026100138,-0.015804922851700497,0.005544660370507797,1.0,-0.02144348558621159,0.05207079106939634,-0.015869261460740584,0.05207079106939634,-0.0028955430937567576,0.015869261460740587,0.002957743397163799
var_agreement,-0.0018335945001900123,-0.010208489450650997,-0.02407167441715093,-0.09975494023469617,0.01292518013847226,0.024890954740237097,0.008372129531940845,-0.02144348558621159,1.0,-0.0014739427830447063,0.016530535388043128,-0.0014739427830447063,0.008329968405795958,-0.01653053538804321,0.004417363777428298
average_avg_var,-0.08478024966231607,0.9610409340496362,0.05011104197492503,-0.008528908018316683,-0.05976069514630515,-0.030447742376357365,0.9517536407289017,0.05207079106939634,-0.0014739427830447063,1.0,-0.027960248211922764,1.0,0.0007149500941935908,0.02796024821192282,-0.0023578086914209
var_throughput_u_shaped,0.6827454274030357,-0.06262385129759002,-0.01930108758826442,-0.010069365385454731,0.7868197278555472,0.8056053619327695,0.013098242868797672,-0.015869261460740584,0.016530535388043128,-0.027960248211922764,1.0,-0.027960248211922764,-0.001124890730009453,-1.0,-0.0026119191141126875
average_avg_var,-0.08478024966231607,0.9610409340496362,0.05011104197492503,-0.008528908018316683,-0.05976069514630515,-0.030447742376357365,0.9517536407289017,0.05207079106939634,-0.0014739427830447063,1.0,-0.027960248211922764,1.0,0.0007149500941935908,0.02796024821192282,-0.0023578086914209
special_norm,-0.006477728444869287,0.0005710000623096428,-0.002576837134630723,0.0005125755932660938,-0.006667302765976729,-0.005691982242102737,0.0008462357476245092,-0.0028955430937567576,0.008329968405795958,0.0007149500941935908,-0.001124890730009453,0.0007149500941935908,1.0,0.001124890730009453,-0.009620831027074147
var_throughput_u_shaped,-0.6827454274030353,0.06262385129759002,0.019301087588264435,0.010069365385454592,-0.7868197278555485,-0.8056053619327695,-0.013098242868797662,0.015869261460740587,-0.01653053538804321,0.02796024821192282,-1.0,0.02796024821192282,0.001124890730009453,1.0,0.002611919114112681
special_uni,0.004625915003244529,-0.0034353799162476226,0.003213423924531905,0.008223732382094243,0.0009919855967369647,-0.0024054688895813934,-0.0009295837337364762,0.002957743397163799,0.004417363777428298,-0.0023578086914209,-0.0026119191141126875,-0.0023578086914209,-0.009620831027074147,0.002611919114112681,1.0
