,avg_throughput,avg_worktime,Input.num_characters,avg_agreement,average_avg_var,var_throughput,var_worktime,Input.num_words,var_agreement,average_avg_var,var_throughput_u_shaped,average_avg_var,special_norm,var_throughput_u_shaped,special_uni
avg_throughput,1.0,-0.1990283319386704,-0.0033796472288737654,-0.445688314358763,0.942242395731535,0.5824658069407913,-0.026424544248560812,-0.0016347262299558829,-0.04199727371647672,-0.132294439877345,0.6702262744435751,-0.23249918823478802,-0.0005224525408185491,-0.6702262744435753,0.01130968511415715
avg_worktime,-0.1990283319386704,1.0,0.0014981451788704954,0.03933558285210462,-0.1809962744637884,-0.09166754305825664,0.8166791696944563,0.003691642806988192,0.006106571403834292,0.9672445869246943,-0.13615730424730238,0.022629087484799117,0.0035016437344199173,0.13615730424730246,-0.003920945341884787
Input.num_characters,-0.0033796472288737654,0.0014981451788704954,1.0,0.030603836988135128,-0.005209351339648459,-0.006705900776767522,0.0007892841871968542,0.9693342083507558,0.008509003787879669,0.0013005338627510444,-0.006445680508190652,0.020908472867700686,-0.0012238257136893635,0.00644568050819068,-0.016708607044774067
avg_agreement,-0.445688314358763,0.03933558285210462,0.030603836988135128,1.0,-0.44905790847918253,-0.3391991320742075,-0.029916975921616358,0.028410150445145256,0.045469325591747926,0.010608344545328652,-0.3640442166331785,0.478810866904324,0.011759513543294717,0.3640442166331789,-0.004712734863890923
average_avg_var,0.942242395731535,-0.1809962744637884,-0.005209351339648459,-0.44905790847918253,1.0,0.8185859947346352,-0.02427423679131132,-0.004506337174389987,-0.05820317936863525,-0.12044770889609922,0.786070085495549,-0.24822012639384702,-0.001987696601112934,-0.7860700854955482,0.01105327055422709
var_throughput,0.5824658069407913,-0.09166754305825664,-0.006705900776767522,-0.3391991320742075,0.8185859947346352,1.0,-0.009919526988106228,-0.00774098130152286,-0.05294210954541096,-0.06005539208389153,0.7974218143674441,-0.19538490077358794,-0.0038825699469384276,-0.7974218143674442,0.008442242383974962
var_worktime,-0.026424544248560812,0.8166791696944563,0.0007892841871968542,-0.029916975921616358,-0.02427423679131132,-0.009919526988106228,1.0,0.0026537684282288416,-0.009289942845916131,0.9363605555242132,-0.018311348283716573,-0.021293353412128825,-0.003180951409533215,0.018311348283716465,-0.004229346423975619
Input.num_words,-0.0016347262299558829,0.003691642806988192,0.9693342083507558,0.028410150445145256,-0.004506337174389987,-0.00774098130152286,0.0026537684282288416,1.0,0.010636768102932041,0.0034345094910748163,-0.0065954186264429535,0.02181570767662928,-0.0017789954617684126,0.006595418626442963,-0.015575088017066738
var_agreement,-0.04199727371647672,0.006106571403834292,0.008509003787879669,0.045469325591747926,-0.05820317936863525,-0.05294210954541096,-0.009289942845916131,0.010636768102932041,1.0,-0.00032587788283905297,0.023022515159612268,0.8987812867515161,0.009754647421433494,-0.023022515159612424,0.016086195086723314
average_avg_var,-0.132294439877345,0.9672445869246943,0.0013005338627510444,0.010608344545328652,-0.12044770889609922,-0.06005539208389153,0.9363605555242132,0.0034345094910748163,-0.00032587788283905297,1.0,-0.09083432414516172,0.004369094392863576,0.0006798361839922925,0.09083432414516145,-0.004268816899709573
var_throughput_u_shaped,0.6702262744435751,-0.13615730424730238,-0.006445680508190652,-0.3640442166331785,0.786070085495549,0.7974218143674441,-0.018311348283716573,-0.0065954186264429535,0.023022515159612268,-0.09083432414516172,1.0,-0.13952843115358243,-0.0018626724913577814,-1.0000000000000002,0.0051205830349675555
average_avg_var,-0.23249918823478802,0.022629087484799117,0.020908472867700686,0.478810866904324,-0.24822012639384702,-0.19538490077358794,-0.021293353412128825,0.02181570767662928,0.8987812867515161,0.004369094392863576,-0.13952843115358243,1.0,0.013733324285194389,0.13952843115358216,0.012068793546206295
special_norm,-0.0005224525408185491,0.0035016437344199173,-0.0012238257136893635,0.011759513543294717,-0.001987696601112934,-0.0038825699469384276,-0.003180951409533215,-0.0017789954617684126,0.009754647421433494,0.0006798361839922925,-0.0018626724913577814,0.013733324285194389,1.0,0.0018626724913577751,0.0023671801588859877
var_throughput_u_shaped,-0.6702262744435753,0.13615730424730246,0.00644568050819068,0.3640442166331789,-0.7860700854955482,-0.7974218143674442,0.018311348283716465,0.006595418626442963,-0.023022515159612424,0.09083432414516145,-1.0000000000000002,0.13952843115358216,0.0018626724913577751,1.0,-0.005120583034967538
special_uni,0.01130968511415715,-0.003920945341884787,-0.016708607044774067,-0.004712734863890923,0.01105327055422709,0.008442242383974962,-0.004229346423975619,-0.015575088017066738,0.016086195086723314,-0.004268816899709573,0.0051205830349675555,0.012068793546206295,0.0023671801588859877,-0.005120583034967538,1.0
