Predict_task,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11366
Deception w/o weights,0,0,0.994791686534882,0.994791686534882,1,0.97305029630661,0.990119159221649,0.958431780338287,0.974014759063721,0.958825290203094,0.985366940498352,0.978779673576355,0.972708523273468,0.968374133110046,0.969236314296722,0.96700781583786,0.964751482009888,0.976247370243072,0.96892786026001,0.964925944805145,0.875,0.962756752967834,0.967281877994537,0.961647212505341,0,0.951789379119873,0.960452616214752,0.955859243869782,0
Rapport w/o weights,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.96553498506546,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
Deception by TP,0,0,0.994791686534882,0.994897961616516,0.989130437374115,0.979949831962585,0.968131840229034,0.971262097358704,0.979694843292236,0.966315507888794,0.986098527908325,0.98286759853363,0.984848439693451,0.970885813236237,0.978258371353149,0.9609375,0.967300832271576,0.973738610744476,0.968344569206238,0.979396879673004,0.970826625823975,0.962010860443115,0.962535202503204,0.969669342041016,0.959365427494049,0.95070207118988,0.955730259418488,0.94926780462265,0.950071752071381
Rapport by TP,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.96553498506546,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
Deception by WT,0,0,0.994791686534882,0.9921875,1,0.982271671295166,0.986727058887482,0.714285731315613,0.98046875,0.969960868358612,0.979246139526367,0.981344044208527,1,0.971025347709656,0.977066814899445,0.969200015068054,0.967013895511627,0.964952170848846,0.96995735168457,0.970677733421326,0.965122759342194,0,0.965587735176086,0.964941799640656,0.951941311359406,0.908296167850494,0.949207007884979,0.93753445148468,0.926543235778809
Rapport by WT,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.965525805950165,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
Deception by PC,0,0,0,0.75,1,0.978021919727325,0.986291825771332,0.98724490404129,0,0.955171763896942,1,0.977241218090057,0.972821950912476,0.97589385509491,0.975429236888886,0.9697265625,0,0.974440336227417,0.971262693405151,0.975154638290405,0.953945875167847,0.968696892261505,0.967420279979706,0.965451776981354,0.952329874038696,0.946720957756042,0.959019303321838,0.960855841636658,0.948062062263489
Rapport by PC,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.96553498506546,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
Deception by TL,0,0,0.99319726228714,0.9921875,1,0.96279239654541,0.988282859325409,0.980678498744965,0.980092763900757,0.970166146755218,0.92592591047287,0.981249988079071,0.977335691452026,0.615384638309479,0.9761843085289,0.973635852336884,0.967465281486511,0.776315808296204,0.969191133975983,0.971516251564026,0.969073593616486,0.960186719894409,0.960843682289124,0.963160216808319,0,0,0.94522362947464,0,0.951434254646301
Rapport by TL,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.96553498506546,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
Deception by SP,0,0,1,0.9921875,1,0.975216746330261,0.975469648838043,0.979839861392975,0.977207005023956,0.968272626399994,0.983187139034271,0.98636931180954,0.964745163917542,0.969939231872559,0.973453760147095,0.947098255157471,0.945370376110077,0.972313642501831,0.974113583564758,0.968511939048767,0.964585304260254,0.966389060020447,0.968982458114624,0.96405816078186,0.959620356559753,0,0,0,0.9518683552742
Rapport by SP,0,0,0.994791686534882,0.9921875,0.9921875,0.979829609394074,0.986979186534882,0.979910731315613,0.98046875,0.972205519676208,0.983187139034271,0.981249988079071,0.972821950912476,0.971153855323792,0.977083325386047,0.9697265625,0.967013895511627,0.972313642501831,0.967113137245178,0.970677733421326,0.965122759342194,0.961875021457672,0.96553498506546,0.964978456497192,0.951941311359406,0.95263671875,0.950429797172546,0.952232122421265,0.950622975826263
