Predict_task,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11366
Deception w/o weights,0,0,1,0.736391127109528,0.233675837516785,0.365590512752533,0.53798508644104,0.325432151556015,0.584259152412415,0.249213889241219,0.655596256256104,0.669044375419617,0.992784321308136,0.469758540391922,0.415412306785584,0.620792746543884,0.683178544044495,0.410510122776032,0.921931862831116,0.375114798545837,0.045260608196259,0.459930568933487,0.660237908363342,0.674692869186401,0,0.969848811626434,0.599784672260284,0.303723096847534,0
Rapport w/o weights,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deception by TP,0,0,0.984848499298096,0.834173381328583,0.331526666879654,0.367572695016861,0.210550799965858,0.380695194005966,0.578015446662903,0.605250597000122,0.710795640945435,0.239214971661568,0.147552281618118,0.944539129734039,0.410767138004303,0.079015098512173,0.221713840961456,0.536725401878357,0.600853204727173,0.20869804918766,0.360141396522522,0.465281039476395,0.287634432315826,0.735811829566956,0.216429844498634,0.326806545257568,0.364660978317261,0.788535118103027,0.417778819799423
Rapport by TP,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deception by WT,0,0,1,1,0.252803027629852,0.965092837810516,0.975618660449982,0.029483029618859,1,0.803038477897644,0.368906795978546,0.267382264137268,0.092677280306816,0.903820335865021,0.998941779136658,0.955916285514832,1,0.164780631661415,0.941191017627716,1,1,0,0.950996518135071,0.968195736408233,1,0.076634876430035,0.901219606399536,0.139403626322746,0.062353864312172
Rapport by WT,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99941211938858,1,1,1,1,1,1
Deception by PC,0,0,0,0.027469757944346,0.036212455481291,0.363521307706833,0.955062389373779,0.302456647157669,0,0.513495087623596,0.22243732213974,0.698158979415894,1,0.489362180233002,0.690652012825012,1,0,0.597848474979401,0.693250000476837,0.226806029677391,0.283222258090973,0.146786272525787,0.791617214679718,0.270288705825806,0.997284233570099,0.210899710655212,0.322663307189941,0.565509021282196,0.377430438995361
Rapport by PC,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deception by TL,0,0,0.726032674312592,1,0.292609572410583,0.530888676643372,0.513656318187714,0.518905401229858,0.574212551116943,0.42535537481308,0.063278406858444,1,0.706853926181793,0.017373664304614,0.434913367033005,0.932222783565521,0.421048820018768,0.028636300936341,0.832493484020233,0.69351452589035,0.530602991580963,0.377508074045181,0.700635373592377,0.417143642902374,0,0,0.458020508289337,0,0.667203783988953
Rapport by TL,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deception by SP,0,0,0.512648820877075,1,0.277296721935272,0.377202093601227,0.370697051286697,0.997695863246918,0.733518779277802,0.491590410470962,1,0.688528299331665,0.323923707008362,0.512980341911316,0.573830902576447,0.10705491155386,0.087446145713329,1,0.535121619701386,0.323992162942886,0.248703256249428,0.351064085960388,0.675712645053864,0.723619818687439,0.378797143697739,0,0,0,0.575372695922852
Rapport by SP,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
